qno,Questions,new_paratext
154,What is the use of a  Combine machine ?,"[' This process is called threshing', ' In the harvested crop, the grain seeds need to be separated from the chaff', ' The cutting of a crop after it is mature is called harvesting', ' This is carried out with the help of a machine called ‘combine’ which is in fact a harvester as well as a thresher', ' In harvesting, crops are pulled out or cut close to the ground', ' Harvesting in our country is either done manually by sickle or by a machine called a harvester', 'Harvesting of a crop is an important task']"
155,What is the use of Silos?,"[' This process is called threshing', ' In the harvested crop, the grain seeds need to be separated from the chaff', ' Dried neem leaves are used for storing food grains at home', ' The cutting of a crop after it is mature is called harvesting', ' This is carried out with the help of a machine called ‘combine’ which is in fact a harvester as well as a thresher', ' However, large scale storage of grains is done in silos and granaries to protect Farmers store grains in jute bags or metallic bins from pests like rats and insects', ' In harvesting, crops are pulled out or cut close to the ground', ' Harvesting in our country is either done manually by sickle or by a machine called a harvester', 'Farmers store grains in jute bags or metallic bins', 'Harvesting of a crop is an important task', ' For storing large quantities of grains in big godowns, specific chemical treatments are required to protect specific chemical treatments from pests and microorganisms']"
156,Which one of the following methods is not the traditional methods of irrigations?,"[' Pumps are commonly used for lifting water', ' Cattle or human labor is used in different methods in different regions', 'The water available in wells, lakes and canals is lifted up by different methods in different regions, for taking it to the fields', ' So different methods in different regions are cheaper, but less efficient', ' The various traditional ways are: moat (pulley-system), chain pump, dhekli, and rahat (Lever system)', ' Diesel, biogas, electricity and solar energy is used to run Pumps']"
157,Why the dough rise after mixing of yeast to it ?,"[' This is the smell of alcohol as sugar has been converted into alcohol by yeast', 'Yeast reproduces rapidly and produces carbon dioxide during respiration', ' Bubbles of the gas fill the dough and increase Bubbles of the gas volume', ' This process of conversion of sugar into alcohol is known as fermentation', ' This is the basis of the use of yeast in the baking industry for making breads, pastries and cakes']"
158,What process takes place when yeast is added to grape juice and left for a week?,"[' This is the smell of alcohol as sugar has been converted into alcohol by yeast', 'Yeast reproduces rapidly and produces carbon dioxide during respiration', ' This process of conversion of sugar into alcohol is known as fermentation', ' Some microorganisms spoil food, clothing and leather', ' This is the basis of the use of yeast in the baking industry for making breads, pastries and cakes']"
159,Which micro organisms cause diseases?,"[' Such disease-causing microorganisms are called pathogens', ' Microbial diseases that can spread from an infected person to a healthy person through air, water, food or physical contact are called communicable diseases', ' Some of Microorganisms cause diseases in human beings, plants and animals', ' Examples of such diseases include cholera, common cold, chicken pox and tuberculosis', ' Pathogens can also get transmitted by direct contact with an infected person or carried by an animal']"
160,Which disease  is caused by protozoa ?,"[' Microbial diseases that can spread from an infected person to a healthy person through air, water, food or physical contact are called communicable diseases', ' Such disease-causing microorganisms are called pathogens', ' Some of Microorganisms cause diseases in human beings, plants and animals', ' Serious diseases like polio and chickenpox are also caused by viruses', ' Examples of such diseases include cholera, common cold, chicken pox and tuberculosis', ' Serious diseases like polio and chickenpox are caused by protozoa (protozoans) whereas typhoid and tuberculosis (TB) are bacterial diseases']"
161,Why are micro organisms useful to us?,"[' Antibiotics are also used to control many plant diseases', ' These days a number of antibiotics are being produced from bacteria and fungi', ' Alexander Fleming observed that the presence of mold prevented the growth of bacteria', ' The source of these medicines is microorganisms', ' Suddenly Alexander Fleming found the spores of a little green mold in one of Alexander Fleming culture plates', ' these medicines kill or stop the growth of the disease-causing microorganisms', ' a number of antibiotics are manufactured by growing specific microorganisms and are used to cure a variety of diseases', ' In fact, the presence of mold prevented the growth of bacteria also killed many of bacteria']"
162,Why is nylon useful?,"['Nylon is another man-made fibre', ' A nylon thread is actually stronger than a steel wire', ' It is also used for making parachutes and ropes for rock climbing', ' We use many articles made from nylon, such as socks, ropes, tents, toothbrushes, car seat belts, sleeping bags, curtains, etc', ' Nylon fibre was strong, elastic and light']"
163,Which of the following is purely a synthetic fiber?,"[' It was the first fully synthetic fibre', 'Nylon is another man-made fibre', ' In 1931, it was made without using any natural raw material (from plant or animal)', ' A nylon thread is actually stronger than a steel wire', ' Nylon fibre was strong, elastic and light', ' We use many articles made from nylon, such as socks, ropes, tents, toothbrushes, car seat belts, sleeping bags, curtains, etc']"
164,Which of the following chemicals is responsible for fruit smell ?,"[' Fabrics are sold by names like polycot, polywool, terrycot, etc', ' Esters are the chemicals which give fruits Esters smell', ' Polywool is a mixture of polyester and wool', ' Polycot is a mixture of polyester and cotton', ' It was lustrous and easy to wash', ' In 1931, it was made without using any natural raw material (from plant or animal)', 'Polyester (Poly+ester) is actually made up of the repeating units of a chemical called an ester']"
165,Which of the following is example of PVC ?,"[' Polythene and PVC are used for manufacturing toys, combs and various types of containers', ' When we add hot water to a plastic bottle, a plastic bottle gets deformed', 'On the other hand, there are some plastics which when moulded once, can not be softened by heating', ' some plastics which when moulded once, can not be softened by heating are called thermosetting plastics', ' Such plastic which gets deformed easily on heating and can be bent easily are known as thermoplastics', ' Two examples are bakelite and melamine', ' Polythene and PVC are some of the examples of thermoplastics']"
166,Which of the following plastic products can be remolded?,"[' Polythene and PVC are used for manufacturing toys, combs and various types of containers', ' When we add hot water to a plastic bottle, a plastic bottle gets deformed', 'On the other hand, there are some plastics which when moulded once, can not be softened by heating', ' Melamine is a versatile material', ' some plastics which when moulded once, can not be softened by heating are called thermosetting plastics', ' Such plastic which gets deformed easily on heating and can be bent easily are known as thermoplastics', ' Melamine is used for making floor tiles, kitchenware and fabrics which resist fire', ' Two examples are bakelite and melamine', ' Polythene and PVC are some of the examples of thermoplastics', ' Melamine resists fire and can tolerate heat better than other plastics', ' Bakelite is a poor conductor of heat and electricity']"
167,Which of the given materials is used to prepare synthetic fibres like polyester and acrylic?,"[' Synthetic fibers are more durable and affordable which makes clothes made from acrylic are relatively cheap more popular than natural fibers', 'Polyester is another synthetic fiber', ' These are prepared from another type of synthetic fiber called acrylic', ' PET (polyethylene terephthalate) is a very familiar form of polyester', ' So, it is quite suitable for making dress material', ' Terylene can be drawn into very fine fibers that can be woven like any other yarn', ' Synthetic fibers are prepared by a number of processes using raw materials of petroleum origin, called petrochemicals']"
168,what is the name of artificial wool ?,"[' Synthetic fibers are more durable and affordable which makes clothes made from acrylic are relatively cheap more popular than natural fibers', 'Polyester is another synthetic fiber', ' The wool obtained from natural sources is quite expensive, whereas clothes made from acrylic are relatively cheap', ' These are prepared from another type of synthetic fiber called acrylic', ' PET (polyethylene terephthalate) is a very familiar form of polyester', ' Many of these are actually not made from natural wool, though these appear to resemble wool']"
169,Why is plastic coated with melamine?,"['On the other hand, there are some plastics which when moulded once, can not be softened by heating', ' ', ' Melamine is a versatile material', ' some plastics which when moulded once, can not be softened by heating are called thermosetting plastics', ' Melamine is used for making floor tiles, kitchenware and fabrics which resist fire', ' It is used for making electrical switches, handles of various utensils, etc', ' Melamine resists fire and can tolerate heat better than other plastics', ' Bakelite is a poor conductor of heat and electricity']"
170,Which of the following is a property of thermosetting plastic?,"['On the other hand, there are some plastics which when moulded once, can not be softened by heating', ' some plastics which when moulded once, can not be softened by heating are called thermosetting plastics', ' Melamine is used for making floor tiles, kitchenware and fabrics which resist fire', ' Two examples are bakelite and melamine', ' It is used for making electrical switches, handles of various utensils, etc', ' Melamine resists fire and can tolerate heat better than other plastics', ' Bakelite is a poor conductor of heat and electricity']"
171,Which one of the following is the property of plastics?,"['On the other hand, there are some plastics which when moulded once, can not be softened by heating', 'You have learnt above other plastics are poor conductors of heat and electricity', ' some plastics which when moulded once, can not be softened by heating are called thermosetting plastics', ' As mentioned above, handles of frying pans are also made of plastic', ' Melamine resists fire and can tolerate heat better than other plastics', ' That is why electrical wires have plastic covering, and handles of screwdrivers are made of plastic', ' Bakelite is a poor conductor of heat and electricity']"
172,Why Rayon is different from synthetic fibers ?,"[' Towards the end of the nineteenth century, scientists were successful in obtaining a fiber having properties similar to that of silk', ' Such a fiber was obtained by chemical treatment of wood pulp', ' Although rayon is obtained from a natural source, wood pulp, yet Such a fiber is a man-made fiber', ' Such a fiber was called rayon or artificial silk', 'Attempts were made to make silk artificially']"
173,Which of the following Natural polymer is present in wood pulp?,"[' Towards the end of the nineteenth century, scientists were successful in obtaining a fiber having properties similar to that of silk', ' Such a fiber was obtained by chemical treatment of wood pulp', ' Although rayon is obtained from a natural source, wood pulp, yet Such a fiber is a man-made fiber', ' Such a fiber was called rayon or artificial silk', 'Attempts were made to make silk artificially']"
174,Which one of the following will be flattened by beating with a hammer?,"[' As you must have noticed, materials like coal and pencil lead do not show The property of metals by which they can be beaten into thin sheets', ' Can we call these metals?', 'The shape of the iron nail and the aluminum wire changed on beating', ' The property of metals by which they can be beaten into thin sheets is called malleability', ' If they were beaten harder these could be changed into sheets', ' You might be familiar with silver foil used for decorating sweets']"
175,Which of the following property describe substance can be hammered into sheets?,"[' As you must have noticed, materials like coal and pencil lead do not show The property of metals by which they can be beaten into thin sheets', ' This is a characteristic property of metals', ' Can we call these metals?', 'The shape of the iron nail and the aluminum wire changed on beating', ' The property of metals by which they can be beaten into thin sheets is called malleability', ' You must also be familiar with the aluminum foil used for wrapping food', ' If they were beaten harder these could be changed into sheets']"
176,Which of the following metals reacts vigorously with cold water ?,"['Sodium metal is very reactive', ' For example, iron reacts with water slowly', ' A lot of heat is generated in the reaction', ' Generally, non-metals do not react with water though non-metals may be very reactive in air', ' You observed that sodium reacts vigorously with water', ' Sodium metal reacts vigorously with oxygen and water']"
177,Which petroleum product is used for metalling the road?,"[' Coke is used in the manufacture of steel and in the extraction of many metals', ' Coal is processed in industry to get some useful products such as coke, coal tar and coal gas', 'Coal tar is a black, thick liquid with an unpleasant smell', ' Coal tar is a mixture of about 200 substances', ' Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, perfumes, plastics, paints, photographic materials, roofing materials, etc', ' These days, bitumen, a petroleum product, is used in place of coal-tar for metalling the roads', ' It is a tough, porous and black substance']"
178,Which one of the following is used in the extraction of metals?,"[' Coke is used in the manufacture of steel and in the extraction of many metals', ' Coal is processed in industry to get some useful products such as coke, coal tar and coal gas', 'Coal tar is a black, thick liquid with an unpleasant smell', 'When heated in air, coal burns and produces mainly carbon dioxide gas', ' Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, perfumes, plastics, paints, photographic materials, roofing materials, etc', ' These days, bitumen, a petroleum product, is used in place of coal-tar for metalling the roads', ' Coal tar is a mixture of about 200 substances', ' It is a tough, porous and black substance']"
179,Which of the following  product obtained by burning coal in the presence of air ?,"[' Coke is used in the manufacture of steel and in the extraction of many metals', ' Coal is processed in industry to get some useful products such as coke, coal tar and coal gas', 'Coal tar is a black, thick liquid with an unpleasant smell', 'When heated in air, coal burns and produces mainly carbon dioxide gas', ' Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, perfumes, plastics, paints, photographic materials, roofing materials, etc', ' Coal tar is a mixture of about 200 substances']"
180,Which of the following is the cleanest fuel?,"['Natural gas is also used as a starting material for the manufacture of a number of chemicals and fertilizers', ' CNG is now being used as a fuel for transport vehicles because CNG is less polluting', ' CNG is used for power generation', ' CNG is a cleaner fuel', ' Natural gas is stored under high pressure as compressed natural gas (CNG)', ' India has vast reserves of natural gas', 'The great advantage of CNG is that it can be used directly for burning in homes and factories where it can be supplied through pipes', 'Natural gas is a very important fossil fuel because Natural gas is easy to transport through pipes']"
181,Where is the deposits of natural gas found in India?,"['Natural gas is also used as a starting material for the manufacture of a number of chemicals and fertilizers', ' Natural gas is stored under high pressure as compressed natural gas (CNG)', ' India has vast reserves of natural gas', 'Natural gas is a very important fossil fuel because Natural gas is easy to transport through pipes', ' In India, natural gas has been found in Tripura, Rajasthan, Maharashtra and in the Krishna Godavari delta']"
182,Which of the following is fossil fuels?,"[' coal and petroleum are fossil fuels required the dead organisms millions of years to get converted into coal and petroleum are fossil fuels', 'You know that coal and petroleum are fossil fuels', ' This will result in a better environment, smaller risk of global warming and coal and petroleum are fossil fuels availability for a longer period of time', ' Moreover, burning of coal and petroleum are fossil fuels is a major cause of air pollution', ' Their use is therefore necessary that we use coal and petroleum are fossil fuels only when absolutely necessary']"
183,Which of the following is referred  as PCRA?,"[' In India, the Petroleum Conservation Research Association (PCRA) advises people how to save petrol/diesel while driving', 'You know that coal and petroleum are fossil fuels', ' This will result in a better environment, smaller risk of global warming and coal and petroleum are fossil fuels availability for a longer period of time', ' the dead organisms use is also linked to global warming', ' Moreover, burning of coal and petroleum are fossil fuels is a major cause of air pollution', ' Their use is therefore necessary that we use coal and petroleum are fossil fuels only when absolutely necessary']"
184,Which one of the following is not a petroleum product?,"[' Petroleum is a mixture of various constituents such as petroleum gas, petrol, diesel, lubricating oil, paraffin wax, etc', ' The process of separating the various constituents/ fractions of petroleum is known as refining', ' Due to Hydrogen great commercial importance, petroleum is also called ‘black gold’', 'Petroleum is a dark oily liquid', ' Petroleum has an unpleasant odor', ' Many useful substances are obtained from petroleum and natural gas']"
185,Which of the following is referred as black gold?,"[' Petroleum is a mixture of various constituents such as petroleum gas, petrol, diesel, lubricating oil, paraffin wax, etc', ' The process of separating the various constituents/ fractions of petroleum is known as refining', ' These are termed as ‘Petrochemicals’', ' Due to Hydrogen great commercial importance, petroleum is also called ‘black gold’', 'Petroleum is a dark oily liquid', ' Hydrogen gas obtained from natural gas is used in the production of fertilizers (urea)', ' Petroleum has an unpleasant odor', ' Many useful substances are obtained from petroleum and natural gas']"
186,Which of the following refer highly inflammable substances,"[' So, in the presence of water, the ignition temperature of paper is not reached', ' Hence, it does not burn', ' Examples of inflammable substances are petrol, alcohol, Liquified Petroleum Gas (LPG) etc', 'What happens to the empty paper cup? What happens to the empty paper cup with water? Does the water in the empty paper cup become hot? If we continue heating the empty paper cup, we can even boil water in the empty paper cup', ' The substances which have very low ignition temperature and can easily catch fire with a flame are called inflammable substances', ' Can you think of an explanation for this phenomenon? The heat supplied to the empty paper cup is transferred to water by conduction', ' Can you list some more inflammable substances?']"
187,Which of the following are examples of inflammable substances?,"[' So, in the presence of water, the ignition temperature of paper is not reached', ' Hence, it does not burn', ' Examples of inflammable substances are petrol, alcohol, Liquified Petroleum Gas (LPG) etc', ' The substances which have very low ignition temperature and can easily catch fire with a flame are called inflammable substances', ' Can you list some more inflammable substances?']"
188,What is the Unit of calorific value of a fuel?,"['The substances which have very low ignition temperature and can easily catch fire with a flame are called inflammable substances', ' The calorific value of a fuel expressed in a unit is called kilojoule per kg (kJ/kg)', ' Can you list some more inflammable substances?Suppose you were asked to boil a given quantity of water using cow dung, coal and LPG as fuel', ' Which fuel would you prefer? Give your reason', ' Do these three fuels produce the same amount of heat? The amount of heat energy produced on complete combustion of 1 kg of a fuel is called The amount of heat energy produced on complete combustion of 1 kg of a fuel calorific value']"
189,What is required for producing fire?,"[' But water works only when things like wood and paper are on fire', ' Water is also not suitable for fires involving oil and petrol', ' most common fire extinguisher is water', ' The job of a fire extinguisher is to cut off the supply of air, or to bring down the temperature of the fuel, or both', ' Fire can be controlled by removing one or more of three essential requirements for producing fire', ' You have learnt that there are three essential requirements for producing fire', ' Can you list three essential requirements for producing fire? three essential requirements for producing fire are fuel, air (to supply oxygen) and heat (to raise the temperature of the fuel beyond the ignition temperature)', ' If electrical equipment is on fire, water may conduct electricity and harm those trying to douse fire']"
190,When water can be used as an extinguisher?,"[' Besides more carbohydrates than other nutrients, our body needs dietary fibers and water', ' Put 2-3 drops of dilute iodine solution on it', '', ' Observe if there is any change in the color of the food item', ' Did it turn blue-black? A blue-black color indicates that it contains starch', ' Proteins are also called energy giving foods', ' Thus, we say that rice is a carbohydrate rich source of food', ' Fats also give our energy', ' Carbohydrates mainly provide energy to our body']"
191,How deforestation affects atmosphere?,"[' Deforestation increases the temperature and pollution level on earth', ' Today, a major threat to survival of these organisms is deforestation', ' Ground water level were told by Professor Ahmad that if cutting of trees continues, rainfall and the fertility of the soil will decrease', ' Ground water level know that deforestation disturbs the balance in nature', ' Deforestation increases the level of carbon dioxide in the atmosphere', ' We know that deforestation means clearing of forests and using that land for other purposes']"
192,How fertile land is converted to dessert?,"[' the soil has less humus and is less fertile', ' Fewer trees result in more soil erosion', ' the fertile land is called desertification', ' Gradually the fertile land gets converted into deserts', ' The increase in temperature on the earth disturbs the water cycle and may reduce rainfall', ' This will lead to global warming as carbon dioxide traps the heat rays reflected by the earth', ' This could cause droughts', '\xa0Deforestation is a major cause which leads to the change in soil properties']"
193,What is the effect of increased carbon dioxide in the atmosphere?,"[' Fewer trees would mean that less carbon dioxide will be used up resulting in its increased amount in the atmosphere', 'Recall that plants need carbon dioxide for photosynthesis', ' The increase in temperature on the earth disturbs the water cycle and may reduce rainfall', ' This will lead to global warming as carbon dioxide traps the heat rays reflected by the earth', ' Fewer trees result in more soil erosion', '\xa0Deforestation is a major cause which leads to the change in soil properties', ' This could cause droughts']"
194,What is the large area of scenic beauty protected for flora and fauna called?,"[' National Parks are the areas reserved for wild life where National Parks can freely use the habitats and natural resources', ' \xa0Areas where animals are protected from any disturbance to animals and animals habitat is called wildlife sanctuary', ' To protect our flora and fauna and fauna habitats, protected areas called wildlife sanctuaries, national parks and biosphere reserves have been earmarked', 'Biodiversity is that part of the earth in which living organisms exist or which supports life', ' Biosphere Reserve is the Large areas of protected land for conservation of wild life, plant and animal resources and traditional life of the tribals living in the area']"
195,which one of the following is refered for variety of life on earth?,"[' National Parks are the areas reserved for wild life where National Parks can freely use the habitats and natural resources', ' \xa0Areas where animals are protected from any disturbance to animals and animals habitat is called wildlife sanctuary', ' To protect our flora and fauna and fauna habitats, protected areas called wildlife sanctuaries, national parks and biosphere reserves have been earmarked', ' Plantation, cultivation, grazing, felling trees, hunting and poaching are prohibited there', ' Biological diversity or biodiversity, refers to the variety of organisms existing on the earth, Biological diversity or biodiversity interrelationships and Biological diversity or biodiversity relationship with the environment', 'Biodiversity is that part of the earth in which living organisms exist or which supports life', ' Biosphere Reserve is the Large areas of protected land for conservation of wild life, plant and animal resources and traditional life of the tribals living in the area']"
196,what is biosphere reserve?,"[' The Pachmarhi Biosphere Reserve is the Large areas of protected land for conservation of wild life, plant and animal resources and traditional life of the tribals living in the area', ' As you are aware that biodiversity is the variety of plants, animals and microorganisms generally found in an area', ' The Pachmarhi Biosphere Reserve may also contain other protected areas in The Pachmarhi Biosphere Reserve', 'Biosphere reserves are the areas meant for conservation of biodiversity', ' National Parks are the areas reserved for wild life where National Parks can freely use the habitats and natural resources', ' Biosphere reserves help to maintain the biodiversity and culture of an area']"
197,which one of the following is the epidemic fauna of Panchmarhi Biosphere reserve?,"[' Endemic species are those species of plants and animals which are found exclusively in a particular area', ' Professor Ahmad explains that the destruction of Bison, Indian giant squirrel and flying squirrel habitat, increasing population and introduction of new species may affect the natural habitat of endemic species and endanger endemic species existence', ' Endemic species are not naturally found anywhere else', ' Bison, Indian giant squirrel and flying squirrel are endemic fauna of this area', ' To protect our flora and fauna and fauna habitats, protected areas called wildlife sanctuaries, national parks and biosphere reserves have been earmarked', ' Sal and wild mango as two examples of the endemic flora of the Pachmarhi Biosphere Reserve', ' A particular type of animal or plant may be endemic to a zone, a state or a country', 'Biodiversity is that part of the earth in which living organisms exist or which supports life']"
198,what are the species of plants and animals are found exclusively in specific area called?,"[' Endemic species are those species of plants and animals which are found exclusively in a particular area', ' Endemic species are not naturally found anywhere else', ' Sal and wild mango as two examples of the endemic flora of the Pachmarhi Biosphere Reserve', ' To protect our flora and fauna and fauna habitats, protected areas called wildlife sanctuaries, national parks and biosphere reserves have been earmarked', ' A particular type of animal or plant may be endemic to a zone, a state or a country', ' Biological diversity or biodiversity, refers to the variety of organisms existing on the earth, Biological diversity or biodiversity interrelationships and Biological diversity or biodiversity relationship with the environment', 'Biodiversity is that part of the earth in which living organisms exist or which supports life']"
199,which of the following factors affect existence of endemic species.,"[' Endemic species are those species of plants and animals which are found exclusively in a particular area', ' Professor Ahmad explains that the destruction of Bison, Indian giant squirrel and flying squirrel habitat, increasing population and introduction of new species may affect the natural habitat of endemic species and endanger endemic species existence', ' Endemic species are not naturally found anywhere else', ' Sal and wild mango as two examples of the endemic flora of the Pachmarhi Biosphere Reserve', ' To protect our flora and fauna and fauna habitats, protected areas called wildlife sanctuaries, national parks and biosphere reserves have been earmarked', ' A particular type of animal or plant may be endemic to a zone, a state or a country']"
200,which one of the following is a flora of Panchmarhi biosphere reserve?,"[', are the flora and chinkara, blue- bull, barking deer, cheetal, leopard, wild dog, wolf, etc', ' Some animals and plants typically belong to a particular area', ' Sal, teak, mango, jamun, silver ferns, arjun, etc', ' Endemic species are not naturally found anywhere else', ' Sal and wild mango as two examples of the endemic flora of the Pachmarhi Biosphere Reserve', ' are examples of the fauna of the Pachmarhi Biosphere Reserve', ' The plants and animals found in a particular area are termed flora and fauna respectively of a particular area']"
201,which one of the following is flora of a region?,"[' The plants and animals found in a particular area are termed flora and fauna respectively of a particular area', ' Some animals and plants typically belong to a particular area', ' Sal, teak, mango, jamun, silver ferns, arjun, etc', 'Endemic species are those species of plants and animals which are found exclusively in a particular area', ' Endemic species are not naturally found anywhere else', ' Sal and wild mango as two examples of the endemic flora of the Pachmarhi Biosphere Reserve', ', are the flora and chinkara, blue- bull, barking deer, cheetal, leopard, wild dog, wolf, etc']"
202,which of the following category dinosaur belongs?,"[' But, Project Tiger is unique in the sense that a significant increase in the population of tigers has been seen here', ' Killing (poaching) or capturing animals in general is strictly prohibited and punishable by law in all such places', ' Animals whose numbers are diminishing to a level that whose numbers might face extinction are known as the endangered animals', ' Once upon a time, animals like lions, elephants, wild buffaloes and barasingha were also found in the Satpura National Park', ' Boojho is reminded of the dinosaurs which became extinct a long time ago', ' Project Tiger is one of the many species which are slowly disappearing from our forests']"
203,which one of the following is related to inheritance from one generation to another.,"[' Protoplasm is called the living substance of the cell', ' Nucleus, in addition to Nucleus role in inheritance, acts as control centre of the activities of the cell', ' a smaller spherical body in the nucleus is called the nucleolus', ' There is no nuclear membrane', ' In addition, nucleus contains thread-like structures called chromosomes', ' The nucleus of the cell is not well-organised like the cells of multicellular organisms', ' The chromosomes can be seen only when the cell divides', ' The entire content of a living cell is known as Protoplasm', ' These carry genes and help in inheritance or transfer of characters from the parents to the offspring', ' The entire content of a living cell includes the cytoplasm and the nucleus']"
204,Which one of the following is not included in the nucleous?,"[' a smaller spherical body in the nucleus is called the nucleolus', ' There is no nuclear membrane', ' In addition, nucleus contains thread-like structures called chromosomes', ' The nucleus of the cell is not well-organised like the cells of multicellular organisms', ' The chromosomes can be seen only when the cell divides', ' The entire content of a living cell includes the cytoplasm and the nucleus']"
205,Which liquid exists in the nucleus?,"[' a smaller spherical body in the nucleus is called the nucleolus', ' Nucleus, in addition to Nucleus role in inheritance, acts as control centre of the activities of the cell', ' There is no nuclear membrane', ' The nucleus of the cell is not well-organised like the cells of multicellular organisms', ' In addition, nucleus contains thread-like structures called chromosomes', ' The chromosomes can be seen only when the cell divides', ' The entire content of a living cell includes the cytoplasm and the nucleus']"
206,which one of the following lacks in prokaryotic cell?,"[' There is no nuclear membrane', ' The chromosomes can be seen only when the cell divides', ' In addition, nucleus contains thread-like structures called chromosomes', ' The nucleus of the cell is not well-organised like the cells of multicellular organisms', ' The entire content of a living cell is known as Protoplasm', ' The entire content of a living cell includes the cytoplasm and the nucleus', ' The organisms with these kinds of cells are called prokaryotes', ' the cells of multicellular organisms are termed prokaryotic cells', ' the cells of multicellular organisms are designated as eukaryotic cells']"
207,What happens to a leaf as it falls?,"[' When the leaves are falling are attached, the leaves are falling are not in motion, so how can the leaves are falling have energy?   Instead of kinetic energy, the leaves are falling have stored energy', ' While the leaves are falling are still attached to trees, the leaves are falling also have energy', ' As The leaves are falling, the leaves are falling have kinetic energy', '   The leaves turn color', ' A leaf on a tree branch has potential energy', ' potential energy can be turned into motion as potential energy falls', '   For example, leaves on trees have potential energy because trees could fall']"
208,What happens to leaves in autumn in many parts of the world?,"[' When the leaves are falling are attached, the leaves are falling are not in motion, so how can the leaves are falling have energy?   Instead of kinetic energy, the leaves are falling have stored energy', ' While the leaves are falling are still attached to trees, the leaves are falling also have energy', '   The leaves turn color', ' As The leaves are falling, the leaves are falling have kinetic energy', 'In many parts of the world, trees lose trees leaves in autumn', '   For example, leaves on trees have potential energy because trees could fall']"
209,What is an example of potential energy?,"[' Once A leaf on a tree branch is on the ground, A leaf on a tree branch has no more potential unless A leaf on a tree branch is lifted back up', ' When the leaves are falling are attached, the leaves are falling are not in motion, so how can the leaves are falling have energy?   Instead of kinetic energy, the leaves are falling have stored energy', ' An object has potential energy because of An object position', ' While the leaves are falling are still attached to trees, the leaves are falling also have energy', '   energy is called potential energy', '        Motion can also be turned back into potential energy', ' As The leaves are falling, the leaves are falling have kinetic energy', ' A leaf on a tree branch has potential energy', ' Potential energy can be transferred into Motion', ' potential energy can be turned into motion as potential energy falls', '   For example, leaves on trees have potential energy because trees could fall']"
210,How does potential energy exist and change?,"[' While the leaves are falling are still attached to trees, the leaves are falling also have energy', ' potential energy can be turned into motion as potential energy falls', '   energy is called potential energy', '        Motion can also be turned back into potential energy', ' Potential energy can be transferred into Motion', ' An object has potential energy because of An object position', '   For example, leaves on trees have potential energy because trees could fall']"
211,What kind of energy do leaves have while still on the trees?,"['   For example, leaves on trees have potential energy because trees could fall', ' When the leaves are falling are attached, the leaves are falling are not in motion, so how can the leaves are falling have energy?   Instead of kinetic energy, the leaves are falling have stored energy', ' While the leaves are falling are still attached to trees, the leaves are falling also have energy', ' As The leaves are falling, the leaves are falling have kinetic energy', ' A leaf on a tree branch has potential energy', 'In many parts of the world, trees lose trees leaves in autumn']"
212,What happens to trees in autumn?,"[' While the leaves are falling are still attached to trees, the leaves are falling also have energy', '        trees fall because of the pull of gravity', '   Then fall from trees to the ground', 'In many parts of the world, trees lose trees leaves in autumn', '   For example, leaves on trees have potential energy because trees could fall']"
213,How did law of gravity impact people?,"['   Universal gravitation means that all objects are affected by gravity in the same way', '   In fact, there is gravity between you and every mass around you', 'Newton was the first one to suggest that gravity is universal', '   Universal gravitation also means that while Earth exerts a pull on you, you exert a pull on Earth', '   Newtons law had a huge impact on how people thought about the universe', '   Newtons law explains the motion of objects not only on Earth but in outer space as well', '   Thats why his law of gravity is called the law of universal gravitation', '   That means gravity affects all objects in the universe']"
214,Why is Newton law of gravity called the law of universal gravitation?,"['   Universal gravitation means that all objects are affected by gravity in the same way', 'Newton was the first one to suggest that gravity is universal', '   Universal gravitation also means that while Earth exerts a pull on you, you exert a pull on Earth', '   Newtons law explains the motion of objects not only on Earth but in outer space as well', '   Thats why his law of gravity is called the law of universal gravitation', '   That means gravity affects all objects in the universe']"
215,"how  the actions, like apple falling from the tree and the Moon being held in orbit are the same?","['   Universal gravitation means that all objects are affected by gravity in the same way', '   In fact, there is gravity between you and every mass around you', '   Universal gravitation also means that while Earth exerts a pull on you, you exert a pull on Earth', '   Newtons law explains the motion of objects not only on Earth but in outer space as well', '   This is the reason the apple falling from the tree and the Moon being held in orbit is the same', '   Thats why his law of gravity is called the law of universal gravitation', '   That means gravity affects all objects in the universe']"
216,What did Newton suggest?,"['   Universal gravitation means that all objects are affected by gravity in the same way', 'Newton was the first one to suggest that gravity is universal', '   Universal gravitation also means that while Earth exerts a pull on you, you exert a pull on Earth', '   Newtons law had a huge impact on how people thought about the universe', '   Newtons law explains the motion of objects not only on Earth but in outer space as well', '   Thats why his law of gravity is called the law of universal gravitation', '   That means gravity affects all objects in the universe']"
217,how people think about the universe as per Newton's law?,"['   In fact, there is gravity between you and every mass around you', '   Universal gravitation also means that while Earth exerts a pull on you, you exert a pull on Earth', '   Newtons law had a huge impact on how people thought about the universe', '   Newtons law explains the motion of objects not only on Earth but in outer space as well', '   This is the reason the apple falling from the tree and the Moon being held in orbit is the same', '   Thats why his law of gravity is called the law of universal gravitation', '   That means gravity affects all objects in the universe']"
