No.,qno,Ans1,Ans2,Ans3,Ans4,Correct Ans,Question Type,Question Sentence 
205,205,endoplasmic reticulum is not included in the nucleous.,Gene is not included in the nucleous.,DNA is not included in the nucleous.,chromosomes is not included in the nucleous.,endoplasmic reticulation is not included in the nucleous.,which,Which one of the following is not included in the nucleous?
206,206,Nuclear membrane liquid exists in the nucleus.        ,nucleoplasm liquid exists in the nucleus.,nucleolus liquid exists in the nucleus.,chromosome liquid exists in the nucleus.,nucleoplasm liquid exists in the nucleus.,which,Which liquid exists in the nucleus?
207,207,cytoplasm lacks in prokaryotic cell.,cell membrane lacks in prokaryotic cell.,chromosome lacks in prokaryotic cell.,membrane bound nucleus lacks in prokaryotic cell.,membrane bound nucleus lacks in prokaryotic cell.,which,which one of the following lacks in prokaryotic cell?
208,208,Leaves energy is turned into motion as it falls.,leaf get energy as it falls.,leaves turn colors as it falls.,leaves give off motion energy as it falls.,Leaves energy is turned into motion as it falls.,what,What happens to a leaf as it falls?
209,209,leaves turn color and fall in autumn in many parts of the world.,leaves hibernate in autumn in many parts of the world.,leaves grow more in autumn in many parts of the world.,leaves gain kinetic energy in autumn in many parts of the world.,leaves turn color and fall in autumn in many parts of the world.,what,What happens to leaves in autumn in many parts of the world?
210,210,"Leaves on trees have potential energy because leaves can fall from gravity , is an example of potential energy.",Leaves falling is an example of potential energy.,Motion is an example of potential energy is an example of potential energy.,Conduction is an example of potential energy is an example of potential energy.,"Leaves on trees have potential energy because leaves can fall from gravity, is an example of potential energy.",what,What is an example of potential energy?
211,211,potential energy exist and change Through gravity.,potential energy exist and change because of autumn.,potential energy exist and change Through kinetic energy.,potential energy exist and change Through conduction.,potential energy exist and change Through gravity.,how,How does potential energy exist and change?
212,212,leaves have  Stored energy while still on the trees.,leaves have kinetic energy while still on the trees.,leaves have Falling energy while still on the trees.,leaves have Solar energy while still on the trees.,leaves have Stored energy while still on the trees.,what,What kind of energy do leaves have while still on the trees?
213,213,Trees lose their leaves  in autumn.,Trees go dormant  in autumn.,Trees hibernate  in autumn.,Trees are in motion  in autumn.,Trees lose their leaves  in autumn.,what,What happens to trees in autumn?
214,214,how people thought about the universe. It explains the motion of objects not only on Earth but in outer space as well,law of gravity made us smarter,law of gravity added to communication,law of gravity explained gravity,how people thought about the universe. Law of gravity explains the motion of objects not only on Earth but in outer space as well,how,How did law of gravity impact people?
215,215,Newton law of gravity called the law of universal gravitation because It includes motion of all things.,Newton law of gravity called the law of universal gravitation because gravity affects all objects in the universe.,Newton law of gravity called the law of universal gravitation because it affects nothing.,Newton law of gravity called the law of universal gravitation because It includes solar energy.,Newton law of gravity called the law of universal gravitation because gravity affects all objects in the universe.,why,Why is Newton law of gravity called the law of universal gravitation?
216,216,apple falling from the tree and the Moon being held in orbit are the same as Universal gravitation means that all objects are affected by gravity in the same way,apple falling from the tree and the Moon being held in orbit are the same as All happens due to lack of gravity.,apple falling from the tree and the Moon being held in orbit are the same as Your both lacking energy.,apple falling from the tree and the Moon being held in orbit are the same as All happens due to outside forces.,apple falling from the tree and the Moon being held in orbit are the same as Universal gravitation means that all objects are affected by gravity in the same way.,how,"how  the actions, like apple falling from the tree and the Moon being held in orbit are the same?"
217,217,Newton suggested gravity is not universal.,Newton suggested kinetic energy is the same for all objects,Newton suggested  Motion is universal.,Newton suggested  that gravity is universal.,Newton suggested   that gravity is universal.,what,What did Newton suggest?
218,218," People thought, it is all centered around the Earth"," People thought, it was centered around the sun","People thought, the motion of objects not only on Earth but in outer space as well","People thought, It explains the motions of objects on earth","People thought, the motion of objects not only on Earth but in outer space as well.",how,how people think about the universe as per Newton's law?
219,219,there is gravity between you and every mass around you because There is solar energy,there is gravity between you and every mass around you because you are a magnet,there is gravity between you and every mass around you because gravity is universal.,there is gravity between you and every mass around you because There is chemical energy.,there is gravity between you and every mass around you because gravity is universal.,why,Why is there gravity between you and every mass around you?
220,220,The Law of Universal Gravitation entails the force of inertia.,The Law of Universal Gravitation entails Gravity which affects all objects in the universe.,The Law of Universal Gravitation entails The gravitational force field.,The Law of Universal Gravitation entails The force holding us to earth.,The Law of Universal Gravitation entails Gravity which affects all objects in the universe.,what,What does the Law of Universal Gravitation entail?
221,221,universal gravitation means the gravity holding objects to earth.,universal gravitation means Gravity doesnt affect everyone.," universal gravitation means that all objects are affected by gravity in the same way and also while Earth exerts a pull on you, you exert a pull on Earth.",universal gravitation means The planets all having gravity.,"universal gravitation means that all objects are affected by gravity in the same way and also while Earth exerts a pull on you, you exert a pull on Earth",what,What does universal gravitation mean?
222,222,KPH and LLH are measures of speed.,MPH are measures of speed.,Mi are measures of speed.,LPM and MPH are measures of speed.,MPH are measures of speed.,what,What are the measures of speed?
223,223,one determines speed by calculator.,one determines speed by Adding mph and distance.,one determines speed by Multiplying mph and distance,one determines speed by Considering How long it takes to travel that far.,one determines speed by Considering How long it takes to travel that far.,how,How does one determine speed?
224,224,Speed is How long it takes to travel that far,Speed is an important aspect of motion,Speed is The measure of gravity against time,Speed is It is a measure of how far something is,Speed is an important aspect of motion,what,What is speed?
225,225,U.S. measures speed in meters per hour.,U.S. measure speed in kilometer per hour.,U.S. measures speed in miles.,U.S. measures speed in meters.,U.S. measures speed in miles.,how,How does  U.S. measure speed ?
226,226,arrival time and time of sundown determine speed.,How long it takes to travel that far determine speed,Distance determine speed,Arrival time and how long it took something to travel there determine speed.,How long it takes to travel that far determine speed,what,What are the things to  determine speed?
227,227,Ohms is the unit for speed,meters per second is the unit for speed,KPH is the unit for speed,Frequency is the unit for speed,meters per second is the unit for speed,what,What is the unit for speed used by scientist ?
228,228,you determine speed  by How long it takes to travel that far.,you determine speedby Using a speedometer.,you determine speed by Multiplying distance by time.,you determine speed by How far something travels .,you determine speed  by How long it takes to travel that far.,how,How do you determine speed?
229,229,SI and OHMS are two units of speed.,kl are two units of speed.,Meters per second and miles per hour are two units of speed.,SI & Miles  are two units of speed.,Meters per second and miles per hour are two units of speed.,what,What are two units of speed?
230,230,SIH are some different measurements to represent the speed of a car.,"Miles per hour, kilometers per hour,  meters per second are some different measurements to represent the speed of a car.",SI are some different measurements to represent the speed of a car.,Mi are some different measurements to represent the speed of a car.,"Miles per hour, kilometers per hour,  meters per second are some different measurements to represent the speed of a car.",what,What are some different measurements to represent the speed of a car?
231,231,Yards can be used to express speed.,SI or MPH can be used to express speed.,SI or MMPH can be used to express speed.,MPH can be used to express speed.,MPH can be used to express speed.,what,What different units of measure can be used to express speed?
232,232," when your LEGO parts get mixed up, LEGO parts  create fire."," when your LEGO parts get mixed up, LEGO parts  create a simple mixture.","when your LEGO parts get mixed up, LEGO parts  get melted.","when your LEGO parts get mixed up, LEGO parts  change."," when your LEGO parts get mixed up, LEGO parts  create a simple mixture.",what,What happens when your LEGO parts get mixed up?
233,233,the process of sorting things by size and shape is called mixing.,the process of sorting things by size and shape is called making a chemical change with the LEGOS.,the process of sorting things by size and shape is called making a mixture with the LEGOs.,the process of sorting things by size and shape is called putting them back into their original categories.,the process of sorting things by size and shape is called putting them back into their original categories.,what,What is the process of sorting things by size and shape called?
234,234,it is fortunate that your sister just made a simple mixture because You need them for a project.,it is fortunate that your sister just made a simple mixture because You have a project due tomorrow.,it is fortunate that your sister just made a simple mixture because you need them for your next project.,it is fortunate that your sister just made a simple mixture because You need it Today.,it is fortunate that your sister just made a simple mixture because you need them for your next project.,why,Why is it fortunate that your sister just made a simple mixture?
235,235,you have to sort your LEGOs and put them in the tray because Your sister mixed them together.,you have to sort your LEGOs and put them in the tray because You dropped them near the fireplace.,you have to sort your LEGOs and put them in the tray because You mixed them together.,you have to sort your LEGOs and put them in the tray because they are LEGOs.,you have to sort your LEGOs and put them in the tray because Your sister mixed them together.,why,Why do you have to sort your LEGOs and put them in the tray?
236,236,a simple mixture is a chemical change.,a simple mixture is the melting LEGO pieces.,a simple mixture is LEGOS in the fireplace.,a simple mixture is Just a physical change that can be put back into order in its original state.,a simple mixture is Just a physical change that can be put back into order in its original state.,what,What is a simple mixture?
237,237,Tossing the Legos into the fireplace would be an irreversible mixture.,Mixing them together would be an irreversible mixture.,Mixing the shapes together would be an irreversible mixture.,specific arrangement would be an irreversible mixture.,Tossing the Legos into the fireplace would be an irreversible mixture.,what,What would be an irreversible mixture?
238,238,your sister could have mixed them to cause a chemical change in the LEGOS.,your sister could have melted them to cause a chemical change in the LEGOS.,your sister could have made a mess with them to cause a chemical change in the LEGOS.,your sister could have claened them to cause a chemical change in the LEGOS.,your sister could have melted them to cause a chemical change in the LEGOS.,what,What could your sister have done to cause a chemical change in the LEGOS?
239,239,A Simple change happened by Tossing the LEGOs in the fireplace.,A physical change happened by Tossing the LEGOs in the fireplace.,A simple change with the mixture of shapes happened by Tossing the LEGOs in the fireplace.,A melting chemical change happened by Tossing the LEGOs in the fireplace.,A melting chemical change happened by Tossing the LEGOs in the fireplace.,what,what happened by Tossing the LEGOs in the fireplace ?
240,240,The melted pieces needs to be sorted by size and shape.,The melted LEGO parts needs to be sorted by size and shape.,Your LEGOs needs to be sorted by size and shape.,Tiossed Pieces needs to be sorted by size and shape.,Your LEGOs needs to be sorted by size and shape.,what,what needs to be sorted by size and shape?
241,241,the LEGOs melting in the fireplace is a mixture.,The mess that your sister made  is a mixture.,The chemical change from the melting LEGOs  is a mixture.,The Physical Change  is a mixture.,The mess that your sister made  is a mixture.,what,What is a mixture?
242,242,the mixing of LEGOS is  reversible because It was chemical change.,the mixing of LEGOS is  reversible because they were seperated by colors.,the mixing of LEGOS is  reversible because Only some of them were mixed up.,the mixing of LEGOS is  reversible because it was a physical change and  a simple mixture.,the mixing of LEGOS is  reversible because it was a physical change and  a simple mixture.,why,Why  the mixing of LEGOS is  reversible?
243,243,A physical change would have happened if your sister had thrown your LEGOs into the fireplace.,A chemical change from the melting LEGO parts would have happened if your sister had thrown your LEGOs into the fireplace.,A simple change would have happened if your sister had thrown your LEGOs into the fireplace.,A definate change would have happened if your sister had thrown your LEGOs into the fireplace.,A chemical change from the melting LEGO parts would have happened if your sister had thrown your LEGOs into the fireplace.,what,What would have happened if your sister had thrown your LEGOs into the fireplace?
244,244,Your younger sister created the mixture in this passage.,You created the mixture in this passage.,Your cousin created the mixture in this passage.,Your brother created the mixture in this passage.,Your younger sister created the mixture in this passage.,who,who created the mixture in this passage?
245,245,you have to put back Your sister's LEGOs into the original categories.,you have to put back the chemicals into the original categories.,you have to put back the different size and shape of LEGOs into the original categories.,you have to put back the fireplace into the original categories.,you have to put back the different size and shape of LEGOs into the original categories.,what,What do you have to put back into the original categories?
246,246,A mixture  is created by your sister.,A fireplace  is created by your sister.,A chemical change  is created by your sister.,Physical change  is created by your sister.,A mixture  is created by your sister.,what,What is created by your sister ?
247,247,Chemicals mixture  is the mess your sister made with the LEGOs.,Mixture of Different shapes and sizes  is the mess your sister made with the LEGOs.,Mixture of Different colors  is the mess your sister made with the LEGOs.,Arrangment of LEGOs  is the mess your sister made with the LEGOs.,Mixture of Different shapes and sizes  is the mess your sister made with the LEGOs.,what,What is the mess your sister made with the LEGOs?
248,248,History of life on earth are the things scientists learn from fossils.,Who lived in prehistoric times are the things scientists learn from fossils.,History of the Earth are the things scientists learn from fossils.,"If humans and dinosaurs lived together, what humans ate, where they were housed are the things scientists learn from fossils.",History of life on earth are the things scientists learn from fossils.,what,What are the things scientists learn from fossils?
249,249,some organisms that lived in Earth's past became extinct.,some organisms that lived in Earth's past died.,some organisms that lived in Earth's past evolved.,some organisms that lived in Earth's past adapted.,some organisms that lived in Earth's past became extinct.,what,What happened to some organisms that lived in Earth's past?
250,250,Fossils can tell us How many animals there were.," Fossils can tell us Where animals lived, why they died.",Fossils can tell us If man existed.,Fossils can tell us History of life on earth.,Fossils can tell us History of life on earth.,what,What are some things that Fossils can tell us?
251,251,fossils differ from younger rocks to older rocks because older ones are more compact.,fossils differ from younger rocks to older rocks because older fossils look less like living organisms than younger fossils.,fossils differ from younger rocks to older rocks because older ones crumble more.,fossils differ from younger rocks to older rocks older fossils are harder to find.,fossils differ from younger rocks to older rocks because older fossils look less like living organisms than younger fossils,why,Why do fossils differ from younger rocks to older rocks?
252,252,Fossils provides information about the history of life on Earth  and can offer clues to climate change.,Evidence provides information about the history of life on Earth  and can offer clues to climate change.,Extinction provides information about the history of life on Earth  and can offer clues to climate change.,Climate provides information about the history of life on Earth  and can offer clues to climate change.,Fossils provides information about the history of life on Earth  and can offer clues to climate change.,which,Which of the item provides information about the history of life on Earth  and can offer clues to climate change?
253,253,the  transfer of thermal energy in a fluid is called transfer.,the  transfer of thermal energy in a fluid is called Conduction.,the  transfer of thermal energy in a fluid is called Radiation.,the  transfer of thermal energy in a fluid is called Convection.,the  transfer of thermal energy in a fluid is called Convection.,what,What is the  transfer of thermal energy in a fluid is called?
254,254,Convection transfer through empty space.,Radiation transfer through empty space.,Conduction transfer through empty space.,Reflection transfer through empty space.,Radiation transfer through empty space.,which,Which of the  following transfer through empty space?
255,255,radiation is the transfer of thermal energy in waves thru empty space,radiation is a conductor that moves through liquid,radiation is travel of heat.,radiation is an object that travels through insulators,radiation is  the transfer of thermal energy in waves thru empty space.,what,What is radiation ?
256,256,Semi conductor is good conductors of heat.,Only isulators  is good conductors of heat.,Only electricity conductors  is good conductors of heat.,Thermal insulators  is good conductors of heat.,Thermal insulators  is good conductors of heat.,which,Which of the following is good conductors of heat?
257,257,Induction is the transfer between 2 touching objects.,Convection is the transfer between 2 touching objects.,Conduction is the transfer between 2 touching objects.,Radiation is the transfer between 2 touching objects.,Conduction is the transfer between 2 touching objects.,what,What is the transfer between 2 touching objects?
258,258,conduction take place In Substances.,conduction take place in two objects not touching.,conduction take place in Empty space.,ionduction take place In Vaccum.,conduction take place in Substances.,where,Where does conduction take place ?
259,259,direction of the particles during Convection is to the right.,direction of the particles during Convection is from warmer to cooler.,direction of the particles during Convection is To the left.,direction of the particles during Convection is From cooler to warmer.,direction of the particles during Convection is From warmer to cooler.,what,what is the  direction of the particles during Convection?
260,260,The sun  is an example of radiant heat.,A volcano  is an example of radiant heat.,Gas  is an example of radiant heat.,All the Stars  is an example of radiant heat.,The sun  is an example of radiant heat.,what,What is an example of radiant heat?
261,261,the  convection Occur In Subtance,the  convection Occur in a gas.,the  convection Occur in empty space.,the  convection Occur In a waves.,the  convection Occur in a gas.,where,Where does the  convection Occur?
262,262,Insulators conduct heat while conductors do not conduct heat,A thermal conductor stops heat and a thermal insulator transfers heat efficiently,A thermal conductor conducts heat poorly and an insulator conducts heat well,"  Conductors are good conductors of heat, insulators are bad ones","  Conductors are good conductors of heat, insulators are bad ones",what,What is the difference between a thermal conductor and a thermal insulator?
263,263,Convection is the process where particles move within the fluid and transfer thermal energy.,Conduction is the process where particles move within the fluid and transfer thermal energy.,Radiation is the process where particles move within the fluid and transfer thermal energy.,reflection is the process where particles move within the fluid and transfer thermal energy.,Convection is the process where particles move within the fluid and transfer thermal energy.,what,What is the process where particles move within the fluid and transfer thermal energy?
264,264,particles move within a fluid from warmer to cooler.,particles move within a fluid In waves.,particles move within a fluid by Conduction.,particles move within a fluid by touching.,particles move within a fluid from warmer to cooler.,how,How do particles move within a fluid?
265,265,Transfer of thermal energy occurs as particles move within a fluid.,Radiation  occurs as particles move within a fluid.,Conduction occurs as particles move within a fluid.,Transfer of energy to objects via waves  occurs as particles move within a fluid..,Transfer of thermal energy  occurs as particles move within a fluid.,what,What occurs as particles move within a fluid?
266,266,a conductor should be used for convection to happen.,an insulator should be used for convection to happen.,wood should be used for convection to happen.,glass should be used for convection to happen.,a conductor should be used for convection to happen.,what,what should be used for convection to happen?
267,267,you apply force to an object to make it move or stop.,you apply strength to an object to make it move or stop.,you apply nothing to an object to make it move or stop.,you apply pressure to an object to make it move or stop.,you apply force to an object to make it move or stop.,what,What do you apply to an object to make it move or stop?
268,268,Mass of the object cause changes in motion of a moving object.,Shape of the object cause changes in motion of a moving object.,The object's mass cause changes in motion of a moving object.,Who is applying the force cause changes in motion of a moving object.,Mass of the object cause changes in motion of a moving object.,what,What factors cause changes in motion of a moving object?
269,269,"Earth's tilt means as the Earth rotates, one hemisphere has longer days with shorter nights.",Earth's tilt means the earth is flat.,Earth's tilt mean the earth is round.,Earth's tilt means the earth is sphere.,"Earth's tilt means as the Earth rotates, one hemisphere has longer days with shorter nights.",what,What does the Earth's tilt mean?
270,270,the longest day and shortest night of the year happens on June 21 in the Northern Hemisphere.,Summer begins happens on June 21 in the Northern Hemisphere.,Summer ends happens on June 21 in the Northern Hemisphere.,longest night happens on June 21 in the Northern Hemisphere.,the longest day and shortest night of the year happens on June 21 in the Northern Hemisphere.,what,What happens on June 21 in the Northern Hemisphere?
271,271,there is no summer or winter  at the equator.,Days are always the longest  at the equator.,Days are longest in summer  at the equator.,It is always summer  at the equator,there is no summer or winter  at the equator.,what,What happens at the equator?
272,272,Summer season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun.,Spring season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun.,Winter season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun.,Rainy season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun.,Summer season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun.,which,Which season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun?
273,273,one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere because the Earth is tilted on its axis as it rotates.,one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere because  The earth is weird.,one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere because  of the gravitation.,one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere because  season change is required for many animals to survive.,one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere because the Earth is tilted on its axis as it rotates.,why,Why one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere?
274,274,Summer  is the season in southern Australia while North America is undergoing winter.,Spring  is the season in southern Australia while North America is undergoing winter.,Winter  is the season in southern Australia while North America is undergoing winter.,Rainy  is the season in southern Australia while North America is undergoing winter.,Summer  is the season in southern Australia while North America is undergoing winter.,what,What is the season in southern Australia while North America is undergoing winter?
275,275,the average temperature remain the same on  Earth at the equator.,the average temperature remain the same on  Earth at warm places.,the average temperature remain the same on  Earth at horizon.,the average temperature remain the same on  Earth at North pole.,the average temperature remain the same on  Earth at the equator.,where,Where does the average temperature remain the same on  Earth?
276,276,one hemisphere have shorter day and longer nights as the earth rotates because the earth is tilted 23 1/2 degrees.,"one hemisphere have shorter day and longer nights as the earth rotates because  earth is tilting which changes the gravitation, which causes temperature change.",one hemisphere have shorter day and longer nights as the earth rotates because It just happens.,one hemisphere have shorter day and longer nights as the earth rotates because the temperature increases.,one hemisphere have shorter day and longer nights as the earth rotates because the earth is tilted 23 1/2 degrees.,why,Why does one hemisphere have shorter day and longer nights as the earth rotates?
277,277,the North Pole point directly at the sun on June 21st .,the North Pole point directly at the sun on July 21st .,the North Pole point directly at the sun on a day over the winter.,the North Pole point directly at the sun on any day.,the North Pole point directly at the sun on June 21st.,when,When does the North Pole point directly at the sun?
278,278,June 21st is longest day and shortest night of the year in the Northern Hemisphere.,August 21st is longest day and shortest night of the year in the Northern Hemisphere.,July 21st is longest day and shortest night of the year in the Northern Hemisphere.,June 12th is longest day and shortest night of the year in the Northern Hemisphere.,June 21st is longest day and shortest night of the year in the Northern Hemisphere.,which,Which day is longest day and shortest night of the year in the Northern Hemisphere?
279,279,the average daily temperatures remain the same at the equator.,the average daily temperatures remain the same at Australia.,the average daily temperatures remain at the same North pole.,the average daily temperatures remain the same at New York.,the average daily temperatures remain the same at the equator.,where,Where on earth do the average daily temperatures remain the same?
280,280,The equator has no summer or winter.,Australia has no summer or winter.,North pole has no summer or winter.,New york has no summer or winter.,The equator has no summer or winter.,which,Which place on earth has no summer or winter?
281,281,the hemispheres experience different lengths days and nights because the tilt of the earth.,the hemispheres experience different lengths days and nights because earth gravity keeps changing.,the hemispheres experience different lengths days and nights because They have different temperatures.,the hemispheres experience different lengths days and nights because there is  different climate.,the hemispheres experience different lengths days and nights because the tilt of the earth.,why,Why do the hemispheres experience different lengths days and nights?
282,282,seasons do not change at the equator because equator is never tilted away or towards the sun to get fewer or more sun rays.,seasons do not change at the equator because it is always tilted towards the sun.,seasons do not change at the equator because It is close to the pole.,seasons do not change at the equator because It is away from the pole.,seasons do not change at the equator because equator is never tilted away or towards the sun to get fewer or more sun rays.,why,Why seasons do not change at the equator ?
283,283,strong winds cause abrasion by carrying sediment that is thrown against other rocky surfaces by the wind.,strong winds cause abrasion by blowing against the rock.,strong winds cause abrasion by making rocks roll.,strong winds cause abrasion by blowing water over rocks.,strong winds cause abrasion by carrying sediment that is thrown against other rocky surfaces by the wind.,how,How can strong winds cause abrasion?
284,284,weathering is Ice wedging.,weathering is Erosion.,weathering is Hurricanes.,weathering is Mechanicals weathering.,weathering is Ice wedging.,what,What is weathering?
285,285,the shape of the rocks that collide become more rounded with each collision.,the shape of the rocks that collide becomes oval.,the shape of the rocks that collide splits in two.,the shape of the rocks that collide becomes smooth.,the shape of the rocks that collide become more rounded with each collision.,what,What happens to the shape of the rocks that collide ?
286,286,by changing the rocks shapes.,by changing chemical weathering.,by changing rocks movements.,by changing solar weathering.,by changing the rocks shapes.,how,How does sediment affect rock surfaces?
287,287,Wind  cause rocks to move.,Tornadoes  cause rocks to move.,Sand  cause rocks to move.,Avalanches  cause rocks to move.,Wind  cause rocks to move.,what,What forces cause rocks to move?
288,288,roll downhill happen in rocks with gravity.,Collision happen in rocks with gravity.,Levitation happen in rocks with gravity.,Strong winds happen in rocks with gravity.,roll downhill happen in rocks with gravity.,what,What types of movement happen in rocks with gravity?
289,289,Wind causes rocks to move.,Tornadoes causes rocks to move.,Sand causes rocks to move.,Water causes rocks to move.,Wind causes rocks to move.,what,What causes rocks to move?
290,290,"When you wave with your right hand, your image waves with its left hand is an example of reflection reversal.","When you wave with your right hand, your image also waves with its right hand is an example of reflection reversal.",Your reflection will waves and moves around is an example of reflection reversal.,Change in image is an example of reflection reversal.,"When you wave with your right hand, your image waves with its left hand is an example of reflection reversal.",what,What is an example of reflection reversal?
291,291,You see a reverse image of yourself when you look at your reflection.,A person face will look different when you look at your reflection.,You see an exact copy of yourself when you look at your reflection.,Your reflection will move to the side when you look at your reflection.,You see a reverse image of yourself when you look at your reflection.,what,What happens when you look at your reflection?
292,292,The reverse image of you  is similar to your reflection.,The painting of the sign  is similar to your reflection.,The same image as you  is similar to your reflection.,light colour of the image  is similar to your reflection.,The reverse image of you  is similar to your reflection.,what,What is similar to your reflection?
293,293,Light rays striking flat shiny surfaces causes the image in a mirror reflection to be reversed.,sun rays causes the image in a mirror reflection to be reversed,direction of the particles causes the image in a mirror reflection to be reversed,movement of particles causes the image in a mirror reflection to be reversed,Light rays striking flat shiny surfaces causes the image in a mirror reflection to be reversed.,what,What causes the image in a mirror reflection to be reversed?
294,294,The fossils  tells us if ancient climates were warm or cold.,Species still alive on Earth  tells us if ancient climates were warm or cold.,ancient rocks  tells us if ancient climates were warm or cold.,climate  tells us if ancient climates were warm or cold.,The fossils  tells us if ancient climates were warm or cold.,what,What tells us if ancient climates were warm or cold?
295,295,fossils provide Evidence.,fossils provide Climate change.,fossils provide information about species that did not survive,fossils provide conservation.,fossils provide Evidence.,what,What purpose did fossils provide?
296,296,The fossils gives us clues to past life on Earth.,Ancient climates gives us clues to past life on Earth.,climate gives us clues to past life on Earth.,environment gives us clues to past life on Earth.,The fossils gives us clues to past life on Earth.,what,What gives us clues to past life on Earth?
297,297,fossils can provide evidence of Changes in climate.,fossils can provide evidence of What causes changes in the environment.,fossils can provide evidence of water.,fossils can provide evidence of sunlight.,fossils can provide evidence of Changes in climate.,what,What can fossils provide evidence of?
298,298,fossils can tell us how the life on Earth has changed over time.,fossils can tell us How climates change.,fossils can tell us how temperature changed.,fossils can tell us how radiation changed.,fossils can tell us how the life on Earth has changed over time.,what,What can fossils tell us?
299,299,The fossils tells us that life on Earth has changed over time.,Species that still live on Earth tells us that life on Earth has changed over time.,the temperature tells us that life on Earth has changed over time.,the rain tells us that life on Earth has changed over time.,The fossils tells us that life on Earth has changed over time.,what,What tells us that life on Earth has changed over time?
300,300,Fossils provide a window into the past,fossils Tell us how rocks formed,fossils tell us temperature change,fossils tell us weather change,Fossils provide a window into the past,what,What do fossils do?
301,301,fossils provide about evolution the evidence of changes in species,fossils provide about evolution Whether it was land or marine.,fossils provide about evolution whether a tiny number of species still live on Earth,fossils provide about evolution Whether it was hot or cold,fossils provide about evolution the evidence of changes in species,which,Which of the following information fossils provide about evolution?
302,302,timber is a renewable energy because It comes from trees. New trees can be planted to replace those that are cut down,timber is a renewable energy because We will never run out of it.,timber is a renewable energy because timber grows in high temperature.,timber is a renewable energy because timber need more sunlight.,timber is a renewable energy because It comes from trees. New trees can be planted to replace those that are cut down.,why,why timber is a renewable energy?
303,303,Timber can be replanted.,Fish can be replanted.,Fossils can be replanted.,Sunlight can be replanted.,Timber can be replanted.,what,What renewable resource can be replanted?
304,304,Water is an example of polluting resources.,Sunlight is an example of polluting resources.,Temperature is an example of polluting resources.,timber is an example of polluting resources.,Water is an example of polluting resources.,what,What is an example of polluting resources?
305,305,Sunlight  is a renewable resource that we will never run out of.,Fish  is a renewable resource that we will never run out of.,Trees  is a renewable resource that we will never run out of.,Fossil  is a renewable resource that we will never run out of.,Sunlight  is a renewable resource that we will never run out of.,what,What is a renewable resource that we will never run out of?
306,306,fish is a renewable resource because fish can reproduce and make more fish.,fish is a renewable resource because we will never run out of that.,fish is a renewable resource because we can use it forever.,fish is a renewable resource because we can eat as much as we want.,fish is a renewable resource because fish can reproduce and make more fish.,why,Why fish is a renewable resource?
307,307,Water  is an example of a renewable resource that can be polluted.,Sunlight  is an example of a renewable resource that can be polluted.,Sound  is an example of a renewable resource that can be polluted.,Light  is an example of a renewable resource that can be polluted.,Water  is an example of a renewable resource that can be polluted.,what,What is an example of a renewable resource that can be polluted?
308,308,Trees are some renewable resources.,Oils are some renewable resources.,Fossils are some renewable resources.,Rocks are some renewable resources.,Trees are some renewable resources.,what,What are some renewable resources?
309,309,the range and strength of gravity weakens as the distance increases.,The range and strength of gravity is the same.,the range and strength of gravity becomes stronger.,the range and strength of gravity becomes stronger as the object moves further.,the range and strength of gravity weakens as the distance increases.,what,What happens to the range and strength of gravity?
310,310,gravity is in charge of Keeping our planets around the sun.,gravity is in charge of keeping A ball fly off the ground.,gravity is in charge of Pushing planets away from the sun.,gravity is in charge of Keeping the sun from burning out.,gravity is in charge of Keeping our planets around the sun.,what,What is gravity in charge of?
